model,dataset,signal,bin_mid,al_chain_7_1_8,al_tree_7_4_8,delta_tree_minus_chain,n_chain,n_tree
llama,livecodebench,t,0.15000000000000002,1.0344827586206897,1.1147540983606556,0.08027133973996592,116,61
llama,livecodebench,t,0.25,1.1702127659574468,1.3139013452914798,0.143688579334033,235,223
llama,livecodebench,t,0.35000000000000003,1.3202614379084967,1.5475285171102662,0.22726707920176947,306,263
llama,livecodebench,t,0.45,1.6088709677419355,1.9104477611940298,0.3015767934520943,248,201
llama,livecodebench,t,0.55,1.9291044776119404,2.1551724137931036,0.22606793618116328,268,232
llama,livecodebench,t,0.6500000000000001,2.0727969348659006,2.3852459016393444,0.3124489667734438,261,244
llama,livecodebench,t,0.75,2.545171339563863,2.5912698412698414,0.04609850170597829,321,252
llama,livecodebench,t,0.8500000000000001,3.4836065573770494,3.5657015590200447,0.08209500164299532,488,449
llama,livecodebench,t,0.95,5.315428571428572,5.264367816091954,-0.0510607553366178,875,957
llama,math500,t,0.25,1.2190476190476192,1.5,0.28095238095238084,105,78
llama,math500,t,0.35000000000000003,1.6593406593406594,2.0193548387096776,0.36001417936901814,182,155
llama,math500,t,0.45,1.829268292682927,2.169230769230769,0.3399624765478422,246,195
llama,math500,t,0.55,2.208588957055215,2.669230769230769,0.4606418121755542,326,260
llama,math500,t,0.6500000000000001,2.498371335504886,3.045977011494253,0.5476056759893666,307,261
llama,math500,t,0.75,3.068111455108359,3.2992424242424243,0.23113096913406528,323,264
llama,math500,t,0.8500000000000001,3.559931506849315,3.745575221238938,0.1856437143896228,584,452
llama,math500,t,0.95,4.705799151343705,5.047894302229563,0.3420951508858572,1414,1211
llama,mtbench,t,0.25,1.6164383561643836,1.5833333333333333,-0.033105022831050324,73,60
llama,mtbench,t,0.35000000000000003,1.6234309623430963,2.05,0.42656903765690357,239,220
llama,mtbench,t,0.45,1.9595375722543353,2.373456790123457,0.41391921786912156,346,324
llama,mtbench,t,0.55,2.4162303664921465,2.9329896907216493,0.5167593242295028,382,388
llama,mtbench,t,0.6500000000000001,2.8856447688564475,3.394805194805195,0.5091604259487474,411,385
llama,mtbench,t,0.75,3.43859649122807,3.6856435643564356,0.24704707312836538,456,404
llama,mtbench,t,0.8500000000000001,3.893871449925262,3.949367088607595,0.055495638682333315,669,632
llama,mtbench,t,0.95,4.8711985688729875,4.841030195381883,-0.03016837349110446,1118,1126
qwen,livecodebench,t,0.25,1.2446483180428134,1.4603174603174602,0.21566914227464684,327,189
qwen,livecodebench,t,0.35000000000000003,1.3156408808582722,1.675257731958763,0.3596168511004907,1771,1358
qwen,livecodebench,t,0.45,1.4503569110966905,1.8771345272803,0.42677761618360943,3082,2401
qwen,livecodebench,t,0.55,1.6329787234042554,2.099549211119459,0.4665704877152035,3196,2662
qwen,livecodebench,t,0.6500000000000001,1.8532203389830508,2.282228548190321,0.42900820920727023,2950,2459
qwen,livecodebench,t,0.75,2.0677496038034864,2.394439208294062,0.3266896044905758,2524,2122
qwen,livecodebench,t,0.8500000000000001,2.3892063492063493,2.6459724950884085,0.25676614588205915,3150,2545
qwen,livecodebench,t,0.95,2.9296543359611884,3.2271341463414633,0.29747981038027493,3298,3280
qwen,math500,t,0.25,1.1607843137254903,1.4345794392523366,0.27379512552684626,255,214
qwen,math500,t,0.35000000000000003,1.3011879804332636,1.6001705029838023,0.2989825225505387,1431,1173
qwen,math500,t,0.45,1.4055776892430278,1.7879088206144698,0.3823311313714419,2510,2018
qwen,math500,t,0.55,1.5707231040564373,2.013175230566535,0.4424521265100978,2835,2277
qwen,math500,t,0.6500000000000001,1.763177998472116,2.2271234162365086,0.46394541776439246,2618,2131
qwen,math500,t,0.75,1.9549319727891157,2.36839481555334,0.4134628427642242,2352,2006
qwen,math500,t,0.8500000000000001,2.3304578633045785,2.601063829787234,0.27060596648265545,3014,2444
qwen,math500,t,0.95,2.9620954003407154,3.292293450590141,0.3301980502494257,4696,4321
qwen,mtbench,t,0.15000000000000002,1.0,1.0,0.0,13,105
qwen,mtbench,t,0.25,1.150943396226415,1.1475,-0.0034433962264150964,159,400
qwen,mtbench,t,0.35000000000000003,1.3670212765957446,1.6111111111111112,0.2440898345153666,752,792
qwen,mtbench,t,0.45,1.5794587092297017,2.004979253112033,0.4255205438823315,1441,1205
qwen,mtbench,t,0.55,1.9265605875152998,2.3115201090661213,0.38495952155082147,1634,1467
qwen,mtbench,t,0.6500000000000001,2.1717112922002326,2.607806691449814,0.4360953992495813,1718,1614
qwen,mtbench,t,0.75,2.466704288939052,2.9535175879396984,0.4868132990006466,1772,1592
qwen,mtbench,t,0.8500000000000001,3.199284436493739,3.4073129251700682,0.20802848867632928,2795,2352
qwen,mtbench,t,0.95,4.648453734262315,4.739576054041462,0.09112231977914753,8181,8586
