config,model,dataset,num_steps,wasted_tail_fraction,mean_al,n_steps
static_3_1_4,llama,livecodebench,3,0.3318503009683329,2.5375556137136877,3821
static_6_10_60,llama,livecodebench,6,0.4299531981279251,3.3347893915756632,3205
static_7_1_8,llama,livecodebench,7,0.6991661321359846,3.0224502886465685,3118
static_7_4_8,llama,livecodebench,7,0.5020818875780708,3.3053435114503817,2882
static_3_1_4,llama,math500,3,0.23604590505998957,2.7496087636932707,3834
static_6_10_60,llama,math500,6,0.18950749464668093,4.413990007137759,2802
static_7_1_8,llama,math500,7,0.5841669048299514,3.460131466133181,3499
static_7_4_8,llama,math500,7,0.37178596247394025,3.829742876997915,2878
static_3_1_4,llama,mtbench,3,0.25109170305676853,2.726419213973799,4580
static_6_10_60,llama,mtbench,6,0.11893203883495146,4.996359223300971,2472
static_7_1_8,llama,mtbench,7,0.60254329004329,3.494047619047619,3696
static_7_4_8,llama,mtbench,7,0.3775077705566544,3.728736931336536,3539
static_3_1_4,qwen,livecodebench,3,0.4595997734566736,1.9015008495374741,21188
static_6_10_60,qwen,livecodebench,6,0.2720892146923497,3.1436481322623413,12823
static_7_1_8,qwen,livecodebench,7,0.888440132000197,1.9853223661527852,20303
static_7_4_8,qwen,livecodebench,7,0.5853902209685002,2.389456981664316,17016
static_3_1_4,qwen,math500,3,0.45169738118331715,1.9651309408341415,20620
static_6_10_60,qwen,math500,6,0.2901793058068761,3.1845698305642376,12158
static_7_1_8,qwen,math500,7,0.8713604544993405,2.043725271380745,19714
static_7_4_8,qwen,math500,7,0.5999638249125768,2.439286144941517,16586
static_3_1_4,qwen,mtbench,3,0.23267326732673269,2.639880267096477,26058
static_6_10_60,qwen,mtbench,6,0.19488368824232202,4.608827043362147,14229
static_7_1_8,qwen,mtbench,7,0.6278364473327918,3.342594096940157,18465
static_7_4_8,qwen,mtbench,7,0.4391630782819918,3.603124654963012,18114
